node,contractType,contractID,contractRole,currency,notionalPrincipal,initialExchangeDate,maturityDate,repetition,frequency,times,inverted,description
Revenues,OperationalCF,OR1,long,USD,500,2022-01-01,9999-01-01,10,1 years,11,FALSE,Gains on equity warrant assets
Revenues,OperationalCF,OR2,long,USD,459,2022-01-01,9999-01-01,10,1 years,11,FALSE,IB revenue
Revenues,OperationalCF,OR3,long,USD,128,2022-01-01,9999-01-01,10,1 years,11,FALSE,Other income
Expenses,OperationalCF,OE1,short,USD,123,2022-01-01,9999-01-01,10,1 years,11,FALSE,Provision for credit losses
Expenses,OperationalCF,OE2,short,USD,107,2022-01-01,9999-01-01,10,1 years,11,FALSE,"Net occupancy, BD, travel"
Expenses,OperationalCF,OE3,short,USD,48,2022-01-01,9999-01-01,10,1 years,11,FALSE,FDIC and assessments
Expenses,OperationalCF,OE4,short,USD,129,2022-01-01,9999-01-01,10,1 years,11,FALSE,Other expenses
Expenses,OperationalCF,OE5,short,USD,651,2022-01-01,9999-01-01,10,1 years,11,FALSE,Tax expense
Expenses,OperationalCF,OE6,short,USD,240,2022-01-01,9999-01-01,10,1 years,11,FALSE,Noncontrolling interest expense
Expenses,OperationalCF,OE7,short,USD,63,2022-01-01,9999-01-01,10,1 years,11,FALSE,Dividends expense
Revenues,OperationalCF,OR4,long,USD,639,2022-01-01,9999-01-01,10,1 years,11,FALSE,Fees
Revenues,OperationalCF,OR5,long,USD,191,2022-01-01,9999-01-01,10,1 years,11,FALSE,Commissions and charges
Expenses,OperationalCF,OE8,short,USD,2015,2022-01-01,9999-01-01,10,1 years,11,FALSE,Compensation and benefits
Expenses,OperationalCF,OE9,short,USD,392,2022-01-01,9999-01-01,10,1 years,11,FALSE,Professional services
Expenses,OperationalCF,OE10,short,USD,178,2022-01-01,9999-01-01,10,1 years,11,FALSE,Premises and equipment
Expenses,OperationalCF,OE11,short,USD,129,2022-01-01,9999-01-01,10,1 years,11,FALSE,Merger-realted charges
